Yearly Budget,,,,Enter budgets and categories on the Categories sheet only. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transactions,Column #,Column Letter,,Categories Columns,,,,,,,,,,,
© 2026 Tiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,2,B,,Category,Type,Group,Hide From Reports,,,,,,,,
👇 Budget Year View  👇,January 2025 thru December 2025,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,,Category,4,D,,A,C,B,D,,,,,,,,
INCOME WORK,"$268,700","$331,743","$63,043","$19,000","$18,259",-$741,"$19,000","$18,882",-$118,"$19,000","$19,715",$715,"$19,000","$19,157",$157,"$19,000","$18,890",-$110,"$20,300","$19,332",-$968,"$21,400","$21,861",$461,"$21,400","$23,806","$2,406","$21,400","$21,212",-$188,"$21,400","$58,458","$37,058","$46,400","$47,436","$1,036","$21,400","$44,734","$23,334",Expense,Casa,,Casa Comunes Mensual,"-$1,850.00","-$1,450.00","-$2,000.00","-$2,500.00","-$1,550.00","-$1,075.00","-$3,700.00","-$1,042.49","-$3,130.00","-$17,400.00","-$2,550.00","-$2,425.00"
Bonus,"$25,000","$26,217","$1,217",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$25,000","$26,057","$1,057",$0,$160,$160,Expense,Casa,,Casa Fijo Anual,"-$2,062.00",-$213.00,-$717.85,"-$2,048.00",-$73.00,,,,,"-$1,304.00",,
Compra Acciones,"$108,600","$132,753","$24,153","$8,500","$8,447",-$53,"$8,500","$8,282",-$218,"$8,500","$8,653",$153,"$8,500","$8,463",-$37,"$8,500","$8,579",$79,"$8,500","$8,208",-$292,"$9,600","$10,025",$425,"$9,600","$9,779",$179,"$9,600","$9,668",$68,"$9,600","$9,782",$182,"$9,600","$9,835",$235,"$9,600","$33,030","$23,430",Expense,Casa,,Casa Fijo Mensual,"-$10,973.48","-$10,973.48","-$11,042.61","-$10,973.48","-$22,500.55",-$174.42,"-$10,290.54","-$10,512.28","-$10,406.99","-$10,301.70","-$10,301.70","-$10,301.70"
Paycheck,"$135,100","$133,452","-$1,648","$10,500","$9,812",-$688,"$10,500","$10,600",$100,"$10,500","$11,062",$562,"$10,500","$10,694",$194,"$10,500","$10,311",-$189,"$11,800","$11,124",-$676,"$11,800","$11,836",$36,"$11,800","$11,837",$37,"$11,800","$11,544",-$256,"$11,800","$11,544",-$256,"$11,800","$11,544",-$256,"$11,800","$11,544",-$256,Income,Income Work,,Compra Acciones,"$8,447.04","$8,281.98","$8,653.25","$8,463.07","$8,579.48","$8,207.94","$10,025.40","$9,778.86","$9,667.96","$9,782.46","$9,835.20","$33,030.00"
Realtor Income,$0,"$39,321","$39,321",,$0,$0,,$0,$0,,$0,$0,,$0,$0,,$0,$0,,$0,$0,,$0,$0,,"$2,190","$2,190",,$0,$0,,"$37,131","$37,131",,$0,$0,$0,$0,$0,Expense,Casa,Hide,Compra Casa,,,"-$2,500.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expense,Cumpleaños,,Cumpleaños,,,-$150.00,-$50.00,-$751.33,-$763.59,,,-$948.66,-$459.41,,
EXPENSE,"$335,682","$379,944","-$44,262","$28,392","$25,807","$2,584","$28,392","$33,424","-$5,032","$28,392","$36,688","-$8,296","$28,392","$25,656","$2,735","$28,102","$40,406","-$12,305","$28,252","$19,139","$9,112","$27,627","$23,369","$4,258","$27,627","$34,490","-$6,863","$27,627","$37,152","-$9,525","$27,627","$43,292","-$15,665","$27,627","$34,566","-$6,939","$27,627","$25,954","$1,673",Expense,Donation,,Donation,,,,,,,,,-$200.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income,Income Non-Work,,Interest,$27.39,$27.40,$634.38,$24.42,$27.61,$469.18,-$22.26,$913.38,$367.62,$28.54,$703.07,"$12,619.41"
ADULT ACTIVITIES,"$9,996","$7,336","$2,660",$833,$400,$433,$833,$255,$578,$833,"$1,942","-$1,109",$833,$325,$508,$833,$670,$163,$833,$150,$683,$833,$120,$713,$833,$180,$653,$833,"$1,000",-$167,$833,$168,$665,$833,"$1,222",-$389,$833,$904,-$71,Expense,Kids,,Kids Activities Comunes Anual,-$11.00,"-$5,888.50","-$3,738.01",-$835.71,"-$1,178.25","-$2,353.61","-$1,098.00","-$2,838.00","-$4,193.73","-$1,933.00","-$4,792.00","-$2,513.00"
Adult Activities Comunes Anual,"$9,996","$7,336","$2,660",$833,$400,$433,$833,$255,$578,$833,"$1,942","-$1,109",$833,$325,$508,$833,$670,$163,$833,$150,$683,$833,$120,$713,$833,$180,$653,$833,"$1,000",-$167,$833,$168,$665,$833,"$1,222",-$389,$833,$904,-$71,Expense,Casa,Hide,Mudanza,,,,-$850.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expense,Casa,Hide,Obra Casa,-$25.00,,,"-$14,330.50","-$23,000.00","-$8,037.76","$8,900.00",-$863.00,"-$2,453.03","-$5,904.97",-$180.00,"-$20,149.91"
AUTO,"$10,860","$11,399",-$539,"$1,098","$1,118",-$20,"$1,098",$895,$203,"$1,098","$2,302","-$1,204","$1,098",$946,$153,$808,$739,$69,$808,$838,-$30,$808,"$1,005",-$197,$808,$641,$167,$808,$877,-$68,$808,$643,$165,$808,$707,$102,$808,$688,$120,Transfer,Transfer,Hide,Pago Tarjeta,-$18.70,$90.82,-$99.22,-$200.31,-$205.37,-$284.32,-$108.25,-$108.25,-$108.25,"$2,192.68","-$2,409.18",-$108.25
Auto Comunes Anual,"$1,000","$1,673",-$673,$83,$60,$23,$83,$0,$83,$83,"$1,286","-$1,203",$83,$0,$83,$83,$0,$83,$83,$0,$83,$83,$282,-$199,$83,$0,$83,$83,$0,$83,$83,$0,$83,$83,$45,$38,$83,$0,$83,Income,Income Work,,Paycheck,"$9,811.79","$10,600.30","$11,062.20","$10,693.77","$10,310.52","$11,123.92","$11,835.88","$11,837.33","$11,544.15","$11,544.15","$11,544.16","$11,543.98"
Auto Comunes Mensual,"$3,180","$3,198",-$17,$265,$316,-$51,$265,$153,$112,$265,$274,-$9,$265,$200,$65,$265,$295,-$30,$265,$393,-$128,$265,$279,-$14,$265,$197,$68,$265,$432,-$167,$265,$198,$67,$265,$217,$48,$265,$243,$22,Expense,Business,,Realtor Expenses,,-$590.00,"-$2,952.54",-$550.38,-$12.93,-$445.47,-$13.37,-$13.37,-$736.67,-$289.28,-$656.76,-$804.87
Auto Fijo Mensual,"$6,680","$6,528",$152,$750,$742,$8,$750,$742,$8,$750,$742,$8,$750,$746,$5,$460,$444,$16,$460,$444,$16,$460,$444,$16,$460,$444,$16,$460,$444,$16,$460,$444,$16,$460,$444,$16,$460,$444,$16,Income,Income Work,,Realtor Income,,,,,,,,"$2,190.00",,"$37,131.25",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expense,Salidas,,Salidas Comunes Mensual,"-$1,402.17","-$1,168.22","-$1,109.85","-$1,800.44","-$1,253.58","-$2,750.04",-$901.67,"-$3,528.67","-$2,291.98","-$1,979.00","-$1,379.75","-$2,656.44"
BUSINESS,$0,"$4,525","-$4,525",$0,"$1,084","-$1,084",$0,$253,-$253,$0,"$3,763","-$3,763",$0,"-$1,003","$1,003",$0,-$558,$558,$0,"$1,815","-$1,815",$0,"-$2,440","$2,440",$0,-$144,$144,$0,"$1,144","-$1,144",$0,-$138,$138,$0,$71,-$71,$0,$678,-$678,Expense,Salidas,,Salidas Eventos Anual,,-$461.40,-$288.29,-$689.00,-$118.00,,-$200.00,-$194.00,-$244.00,,-$243.85,
Accenture Expenses,$0,"-$2,541","$2,541",$0,"$1,084","-$1,084",$0,-$337,$337,$0,$810,-$810,$0,"-$1,554","$1,554",$0,-$571,$571,$0,"$1,370","-$1,370",$0,"-$2,453","$2,453",$0,-$157,$157,$0,$408,-$408,$0,-$427,$427,$0,-$586,$586,$0,-$127,$127,Expense,Salud,,Salud,,-$125.00,-$286.77,-$351.20,$127.97,,,-$113.68,-$550.00,-$222.00,,
Realtor Expenses,$0,"$7,066","-$7,066",$0,$0,$0,$0,$590,-$590,$0,"$2,953","-$2,953",$0,$550,-$550,$0,$13,-$13,$0,$445,-$445,$0,$13,-$13,$0,$13,-$13,$0,$737,-$737,$0,$289,-$289,$0,$657,-$657,$0,$805,-$805,Expense,Shopping,,Shopping Comunes Mensual,"-$3,676.80",-$308.84,"-$1,583.21","-$2,065.63","-$3,129.34","-$1,984.42","-$1,660.36","-$1,386.02","-$3,367.51","-$3,142.33","-$7,746.14","-$1,906.89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expense,Super y Farmacia,,Super y Farmacia Comunes Mensual,"-$2,300.95","-$1,757.95","-$1,223.65","-$2,969.49","-$2,363.21","-$1,777.91",-$831.88,"-$2,125.26","-$2,836.96","-$1,858.49","-$1,929.03",-$683.45
CASA,"$174,256","$193,307","-$19,051","$14,834","$14,941",-$107,"$14,834","$13,158","$1,675","$14,834","$14,320",$513,"$14,834","$15,868","-$1,034","$14,834","$29,859","-$15,026","$14,834","$4,745","$10,088","$14,209","$14,129",$80,"$14,209","$11,839","$2,370","$14,209","$15,962","-$1,753","$14,209","$32,382","-$18,173","$14,209","$12,897","$1,312","$14,209","$13,207","$1,002",Income,Income Non-Work,,Taxes,,,,"-$33,153.00",$6.00,,,,,,,
Casa Comunes Anual,"$5,500","$17,464","-$11,964",$458,$55,$403,$458,$522,-$64,$458,$560,-$102,$458,$346,$112,$458,"$5,736","-$5,277",$458,"$3,496","-$3,038",$458,$138,$320,$458,$285,$174,$458,"$2,425","-$1,966",$458,"$3,377","-$2,918",$458,$45,$414,$458,$480,-$22,Expense,Utilities,,Telecom Fijo Mensual,-215.35,-252.76,-234.76,-230.43,-240.51,-253.58,-249.07,-281.89,-244.73,-240.47,-251.11,-381.76
Casa Comunes Mensual,"$32,304","$40,672","-$8,368","$2,692","$1,850",$842,"$2,692","$1,450","$1,242","$2,692","$2,000",$692,"$2,692","$2,500",$192,"$2,692","$1,550","$1,142","$2,692","$1,075","$1,617","$2,692","$3,700","-$1,008","$2,692","$1,042","$1,650","$2,692","$3,130",-$438,"$2,692","$17,400","-$14,708","$2,692","$2,550",$142,"$2,692","$2,425",$267,Transfer,Transfer,Hide,Transfer Cuentas,-17183.74,38106.07,-19792.8,76849.36,71218.98,10365.56,0,2275.04,-17426.14,28507.9,-709.05,11393.08
Casa Fijo Anual,"$9,104","$6,418","$2,686",$759,"$2,062","-$1,303",$759,$213,$546,$759,$718,$41,$759,"$2,048","-$1,289",$759,$73,$686,$759,$0,$759,$759,$0,$759,$759,$0,$759,$759,$0,$759,$759,"$1,304",-$545,$759,$0,$759,$759,$0,$759,Expense,Travel,,Travel Argentina,-464.71,,-2904.78,,,,,,,,,-2162.4
Casa Fijo Mensual,"$127,348","$128,753","-$1,405","$10,925","$10,973",-$49,"$10,925","$10,973",-$49,"$10,925","$11,043",-$118,"$10,925","$10,973",-$49,"$10,925","$22,501","-$11,576","$10,925",$174,"$10,750","$10,300","$10,291",$9,"$10,300","$10,512",-$212,"$10,300","$10,407",-$107,"$10,300","$10,302",-$2,"$10,300","$10,302",-$2,"$10,300","$10,302",-$2,Expense,Travel,,Travel Family,-967.88,-6717.02,,-100,-100,-247,-5019.67,-4622.63,-1203.84,-443.03,-2747.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expense,Travel,,Travel Guli,,,-571.81,,,,,-62.6,,,,
CUMPLEAÑOS,"$3,000","$3,123",-$123,$250,$0,$250,$250,$0,$250,$250,$150,$100,$250,$50,$200,$250,$751,-$501,$250,$764,-$514,$250,$0,$250,$250,$0,$250,$250,$949,-$699,$250,$459,-$209,$250,$0,$250,$250,$0,$250,Expense,Travel,,Travel Montaña,-761.33,-1243.1,-435.42,139.98,,,,-2032.3,-5479.48,,,
Cumpleaños,"$3,000","$3,123",-$123,$250,$0,$250,$250,$0,$250,$250,$150,$100,$250,$50,$200,$250,$751,-$501,$250,$764,-$514,$250,$0,$250,$250,$0,$250,$250,$949,-$699,$250,$459,-$209,$250,$0,$250,$250,$0,$250,Expense,Travel,,Travel Vari,,,,,-47.28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expense,Kids,,Tuition,,,-436.5,,-90.4,,,-5700,,-435.88,,
DONATION,$600,$200,$400,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$200,-$150,$50,$0,$50,$50,$0,$50,$50,$0,$50,Expense,Utilities,,Utilities Comunes Mensual,-699.38,-770.93,-749.89,-569.5,-551.94,-450.11,-513.85,-703.28,-608.11,-514.54,-580.82,-665.42
Donation,$600,$200,$400,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$0,$50,$50,$200,-$150,$50,$0,$50,$50,$0,$50,$50,$0,$50,Expense,Varios,,Venmo,2235,-168.57,-647.23,,,-1011,-80.59,1615.58,4000,991.25,,491.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income,Income Non-Work,Hide,Venta Depto,-1.84,-3000,,1050,,,2000,,10000,,,
KIDS,"$32,550","$38,036","-$5,486","$2,625",$11,"$2,614","$2,625","$5,889","-$3,264","$2,625","$4,175","-$1,550","$2,625",$836,"$1,789","$2,625","$1,269","$1,356","$2,775","$2,354",$421,"$2,775","$1,098","$1,677","$2,775","$8,538","-$5,763","$2,775","$4,194","-$1,419","$2,775","$2,369",$406,"$2,775","$4,792","-$2,017","$2,775","$2,513",$262,,,,,,,,,,,,,,,,
Kids Activities Comunes Anual,"$22,500","$31,373","-$8,873","$1,875",$11,"$1,864","$1,875","$5,889","-$4,014","$1,875","$3,738","-$1,863","$1,875",$836,"$1,039","$1,875","$1,178",$697,"$1,875","$2,354",-$479,"$1,875","$1,098",$777,"$1,875","$2,838",-$963,"$1,875","$4,194","-$2,319","$1,875","$1,933",-$58,"$1,875","$4,792","-$2,917","$1,875","$2,513",-$638,,,,,,,,,,,,,,,,
Tuition,"$10,050","$6,663","$3,387",$750,$0,$750,$750,$0,$750,$750,$437,$314,$750,$0,$750,$750,$90,$660,$900,$0,$900,$900,$0,$900,$900,"$5,700","-$4,800",$900,$0,$900,$900,$436,$464,$900,$0,$900,$900,$0,$900,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALIDAS,"$23,600","$24,660","-$1,060","$1,967","$1,402",$564,"$1,967","$1,630",$337,"$1,967","$1,398",$569,"$1,967","$2,489",-$523,"$1,967","$1,372",$595,"$1,967","$2,750",-$783,"$1,967","$1,102",$865,"$1,967","$3,723","-$1,756","$1,967","$2,536",-$569,"$1,967","$1,979",-$12,"$1,967","$1,624",$343,"$1,967","$2,656",-$690,,,,,,,,,,,,,,,,
Salidas Comunes Mensual,"$21,600","$22,222",-$622,"$1,800","$1,402",$398,"$1,800","$1,168",$632,"$1,800","$1,110",$690,"$1,800","$1,800",$0,"$1,800","$1,254",$546,"$1,800","$2,750",-$950,"$1,800",$902,$898,"$1,800","$3,529","-$1,729","$1,800","$2,292",-$492,"$1,800","$1,979",-$179,"$1,800","$1,380",$420,"$1,800","$2,656",-$856,,,,,,,,,,,,,,,,
Salidas Eventos Anual,"$2,000","$2,439",-$439,$167,$0,$167,$167,$461,-$295,$167,$288,-$122,$167,$689,-$522,$167,$118,$49,$167,$0,$167,$167,$200,-$33,$167,$194,-$27,$167,$244,-$77,$167,$0,$167,$167,$244,-$77,$167,$0,$167,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALUD,$0,"$1,521","-$1,521",$0,$0,$0,$0,$125,-$125,$0,$287,-$287,$0,$351,-$351,$0,-$128,$128,$0,$0,$0,$0,$0,$0,$0,$114,-$114,$0,$550,-$550,$0,$222,-$222,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,
Salud,$0,"$1,521","-$1,521",$0,$0,$0,$0,$125,-$125,$0,$287,-$287,$0,$351,-$351,$0,-$128,$128,$0,$0,$0,$0,$0,$0,$0,$114,-$114,$0,$550,-$550,$0,$222,-$222,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOPPING,"$24,000","$31,957","-$7,957","$2,000","$3,677","-$1,677","$2,000",$309,"$1,691","$2,000","$1,583",$417,"$2,000","$2,066",-$66,"$2,000","$3,129","-$1,129","$2,000","$1,984",$16,"$2,000","$1,660",$340,"$2,000","$1,386",$614,"$2,000","$3,368","-$1,368","$2,000","$3,142","-$1,142","$2,000","$7,746","-$5,746","$2,000","$1,907",$93,,,,,,,,,,,,,,,,
Shopping Comunes Mensual,"$24,000","$31,957","-$7,957","$2,000","$3,677","-$1,677","$2,000",$309,"$1,691","$2,000","$1,583",$417,"$2,000","$2,066",-$66,"$2,000","$3,129","-$1,129","$2,000","$1,984",$16,"$2,000","$1,660",$340,"$2,000","$1,386",$614,"$2,000","$3,368","-$1,368","$2,000","$3,142","-$1,142","$2,000","$7,746","-$5,746","$2,000","$1,907",$93,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPER Y FARMACIA,"$24,000","$22,658","$1,342","$2,000","$2,301",-$301,"$2,000","$1,758",$242,"$2,000","$1,224",$776,"$2,000","$2,969",-$969,"$2,000","$2,363",-$363,"$2,000","$1,778",$222,"$2,000",$832,"$1,168","$2,000","$2,125",-$125,"$2,000","$2,837",-$837,"$2,000","$1,858",$142,"$2,000","$1,929",$71,"$2,000",$683,"$1,317",,,,,,,,,,,,,,,,
Super y Farmacia Comunes Mensual,"$24,000","$22,658","$1,342","$2,000","$2,301",-$301,"$2,000","$1,758",$242,"$2,000","$1,224",$776,"$2,000","$2,969",-$969,"$2,000","$2,363",-$363,"$2,000","$1,778",$222,"$2,000",$832,"$1,168","$2,000","$2,125",-$125,"$2,000","$2,837",-$837,"$2,000","$1,858",$142,"$2,000","$1,929",$71,"$2,000",$683,"$1,317",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVEL,"$22,500","$38,193","-$15,693","$1,875","$2,194",-$319,"$1,875","$7,960","-$6,085","$1,875","$3,912","-$2,037","$1,875",-$40,"$1,915","$1,875",$147,"$1,728","$1,875",$247,"$1,628","$1,875","$5,020","-$3,145","$1,875","$6,718","-$4,843","$1,875","$6,683","-$4,808","$1,875",$443,"$1,432","$1,875","$2,747",-$872,"$1,875","$2,162",-$287,,,,,,,,,,,,,,,,
Travel Argentina,"$5,000","$5,532",-$532,$417,$465,-$48,$417,$0,$417,$417,"$2,905","-$2,488",$417,$0,$417,$417,$0,$417,$417,$0,$417,$417,$0,$417,$417,$0,$417,$417,$0,$417,$417,$0,$417,$417,$0,$417,$417,"$2,162","-$1,746",,,,,,,,,,,,,,,,
Travel Family,"$11,500","$22,168","-$10,668",$958,$968,-$10,$958,"$6,717","-$5,759",$958,$0,$958,$958,$100,$858,$958,$100,$858,$958,$247,$711,$958,"$5,020","-$4,061",$958,"$4,623","-$3,664",$958,"$1,204",-$246,$958,$443,$515,$958,"$2,747","-$1,789",$958,$0,$958,,,,,,,,,,,,,,,,
Travel Guli,"$1,500",$634,$866,$125,$0,$125,$125,$0,$125,$125,$572,-$447,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$63,$62,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,,,,,,,,,,,,,,,,
Travel Montaña,"$3,000","$9,812","-$6,812",$250,$761,-$511,$250,"$1,243",-$993,$250,$435,-$185,$250,-$140,$390,$250,$0,$250,$250,$0,$250,$250,$0,$250,$250,"$2,032","-$1,782",$250,"$5,479","-$5,229",$250,$0,$250,$250,$0,$250,$250,$0,$250,,,,,,,,,,,,,,,,
Travel Vari,"$1,500",$47,"$1,453",$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$47,$78,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,$125,$0,$125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILITIES,"$10,320","$10,454",-$134,$860,$915,-$55,$860,"$1,024",-$164,$860,$985,-$125,$860,$800,$60,$860,$792,$68,$860,$704,$156,$860,$763,$97,$860,$985,-$125,$860,$853,$7,$860,$755,$105,$860,$832,$28,$860,"$1,047",-$187,,,,,,,,,,,,,,,,
Telecom Fijo Mensual,"$2,880","$3,076",-$196,$240,$215,$25,$240,$253,-$13,$240,$235,$5,$240,$230,$10,$240,$241,-$1,$240,$254,-$14,$240,$249,-$9,$240,$282,-$42,$240,$245,-$5,$240,$240,$0,$240,$251,-$11,$240,$382,-$142,,,,,,,,,,,,,,,,
Utilities Comunes Mensual,"$7,440","$7,378",$62,$620,$699,-$79,$620,$771,-$151,$620,$750,-$130,$620,$570,$51,$620,$552,$68,$620,$450,$170,$620,$514,$106,$620,$703,-$83,$620,$608,$12,$620,$515,$105,$620,$581,$39,$620,$665,-$45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIOS,$0,"-$7,426","$7,426",$0,"-$2,235","$2,235",$0,$169,-$169,$0,$647,-$647,$0,$0,$0,$0,$0,$0,$0,"$1,011","-$1,011",$0,$81,-$81,$0,"-$1,616","$1,616",$0,"-$4,000","$4,000",$0,-$991,$991,$0,$0,$0,$0,-$491,$491,,,,,,,,,,,,,,,,
Venmo,$0,"-$7,426","$7,426",$0,"-$2,235","$2,235",$0,$169,-$169,$0,$647,-$647,$0,$0,$0,$0,$0,$0,$0,"$1,011","-$1,011",$0,$81,-$81,$0,"-$1,616","$1,616",$0,"-$4,000","$4,000",$0,-$991,$991,$0,$0,$0,$0,-$491,$491,,,,,,,,,,,,,,,,
